Disc Type,Text/Dropdown,,disc_type,Y,Y,"Soundbars
Home Theater 5.1Ch
Others
Blu-ray Players
3D Blu-Ray Players
DVD
Mini Disk HiFi
Micro HiFi
Main Speakers
Docks
CD & DVDs
Other Musical Accessories"
DLNA,Text,,dlna,N,Y,"Smart & 3D TV
Smart TVs
LED TVs"
Diagram plate,Text,,diagram_plate,N,Y,Headphones
DRIVER DIAMETER,Text,,driver_diameter,N,Y,Headphones
Drive Units,Text,,drive_units,N,Y,"Main Speakers
Speaker Sets"
DRIVER UNIT,Text,,driver_unit,N,Y,Headphones
DC Current,Text,,dc_current,N,Y,Other
Dielectric,Text,,dielectric,N,Y,Other
Directivity,Text,,directivity,N,Y,Other
Defrosting,Text,,Defrosting,N,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Freezers"
Door Thickness,Text,,door_thickness,N,Y,"Refrigerator Side-By-Side
Electric Fan
Oven
Hood & HOB"
Drum size(kg),Dropdown,kg,drum_size,Y,Y,"Front Loader
Top Loader 1 Tub
Top Loader 2 Tubs
Washer & Dryer Combination
Dryer - Condensing"
Drum made of material,Text,,drum_made_of_material,N,Y,"Front Loader
Top Loader 2 Tubs
Washer & Dryer Combination
Dryer - Venting
Dryer - Condensing"
Dryer Mode,Text,,dryer_mode,N,Y,"Dryer - Condensing
Dryer - Venting"
Dry Jar,Text,,dryer_jar,N,Y,Blenders & Juicers
Dust Bag Capacity,Text,"cm
liters",dust_bag_capacity,N,Y,"Handheld Vacuum Cleaners
Robotic Vacuum Cleaners
Stick Vacuum Cleaners
Wet & Dry Vacuum Cleaners
Cannister Vacuum Cleaners"
Dust Bin,Text,,dust_bin,N,Y,"Stick Vacuum Cleaners
Cannister Vacuum Cleaners
Robotic Vacuum Cleaners
Wet & Dry Vacuum Cleaners
Handheld Vacuum Cleaners"
Dust Filter System,Text,,dust_filter_system,N,Y,"Cannister Vacuum Cleaners
Wet & Dry Vacuum Cleaners
Stick Vacuum Cleaners
Robotic Vacuum Cleaners
Handheld Vacuum Cleaners"
Drill Sizes,Text,cm,drill_sizes,N,Y,"Hobs
Hoods
Hood & HOB"
Demo,Text,,demo,N,Y,iPod Accessories
Diameter of Speaker,Text,,diameter_of_speaker,N,Y,"Hand Free Kits
Headphones"
Digital Signal input / output,Text,,digital_signal_input_output,N,Y,Camera Accessories
Diaphragm plate,Text,,diaphragm_plate,N,Y,Headphones
Display,Text,,display,N,Y,Digital Frames & Albums
Enclosure Type,Text,,enclosuer_type,N,Y,Subwoofers
Expand Jack,Text,,expand_jack,N,Y,"Portable Speakers
Bluetooth & Wireless Speaker"
Effective Distance,Text,,effective_distance,N,Y,Other
EFFECTIVE FREQUENCY,Text,,effective_frequence,N,Y,Headphones
Element,Text,,element,N,Y,Other
Energy Saving Awarded Label No.5,Text,,energy_saving,N,Y,"Refrigerator 1 Door
Refrigerator 2 Doors
Refrigerator 3 Doors
Refrigerator Side-By-Side
Freezers
Wall Type (Inverter)
Wall Type (Non-inverter)
Floor/Ceiling Type (Inverter)
Floor/Ceiling Type (Non-inverter)
Electric Fan"
Economy Mode,Text,,economy_mode,N,Y,"Front Loader
Washer & Dryer Combination
Top Loader 1 Tub"
EcoMode,Text,,eco_mode,N,Y,"Floor/Ceiling Type (Inverter)
Service
Wall Type (Inverter)
Wall Type (Non-inverter)"
Electrical Resistance,Text,,electrical_resistance,N,Y,Hand Free Kits
EER,Text,,eer,N,Y,"Floor/Ceiling Type (Inverter)
Floor/Ceiling Type (Non-inverter)
Portable Air Conditioners
Service
Wall Type (Inverter)
Wall Type (Non-inverter)"
Effects,Text,,effects,N,Y,Amplifiers
